IRI_KEY,Month,Region,Low_Income,High_Income,Price.Campbell,Price.PL,Price.Progresso,Sales.Progresso,Category_Sales
266628,7,West,1,0,1.494,1.116,1.814,135.532,1620.3223
260243,2,South,0,1,1.548,1.063,1.533,1015.794,4147.9604
532668,7,MidWest,0,0,1.38,1.092,1.957,115.407,1609.6747
266082,5,East,0,0,1.296,1.027,1.599,296.383,1832.0783
532639,7,MidWest,0,0,1.393,0.794,1.984,325.64,9479.6138
250052,8,East,0,0,1.207,0.987,1.478,1940.395,5824.8718
648235,4,MidWest,0,0,1.002,1.159,1.554,3279.548,25910.1853
246859,12,West,0,0,1.361,0.687,1.418,4155.187,15320.031
256998,6,MidWest,1,0,1.473,1.243,1.933,25.751,535.8882
256582,7,South,0,0,1.508,1.048,1.378,301.407,2642.2565
278609,6,West,0,0,1.867,1.23,2.254,314.398,1873.4758
228078,7,South,0,0,1.703,1.148,2.028,217.385,3301.6609
251569,9,MidWest,0,0,1.563,1.118,1.522,1432.402,5720.6727
533341,4,South,0,0,1.354,0.971,1.874,191.353,2351.8111
212482,3,South,1,0,1.59,0.978,2.127,300.302,4625.7281
248128,12,East,1,0,1.539,1.388,1.821,1896.642,8398.8597
1078107,8,South,1,0,1.038,1.016,1.391,227.966,2518.5936
281920,11,West,0,0,1.483,1.319,1.566,1020.171,3695.1148
247176,3,East,0,0,1.548,1.169,2.208,2324.83,11740.6988
227758,11,East,0,0,1.707,1.204,1.36,2564.892,4662.2376
271865,7,MidWest,0,1,1.376,1.111,1.859,146.626,1598.3072
257871,9,MidWest,0,0,1.167,0.947,1.358,958.48,11999.9586
200489,9,South,0,0,1.364,1.035,1.352,30.063,2370.5797
242662,6,South,1,0,1.659,1.359,1.877,34.1,986.6209
228771,6,MidWest,0,0,1.514,1.226,1.898,315.585,2914.4425
241995,1,West,0,0,1.269,1.195,1.598,1029.449,6742.6695
256183,8,MidWest,0,0,1.468,1.17,1.903,170.033,1075.3831
205066,4,East,0,1,1.432,1.081,1.389,3386.69,8924.5158
217434,7,East,0,0,1.41,1.017,1.469,1728.048,7670.9858
684049,10,South,1,0,1.369,0.978,1.666,546.694,3456.5554
245748,11,MidWest,0,0,1.554,1.293,1.981,1033.448,6353.6927
232902,11,South,0,0,1.166,0.983,1.709,74.812,5952.6458
293601,2,West,0,1,1.628,1.215,1.441,1231.098,3412.1513
259693,4,MidWest,0,1,1.515,1.11,2.226,448.599,3554.0014
265601,1,South,0,0,1.401,0.928,1.519,958.434,7610.6155
224312,4,South,1,0,1.408,0.914,1.779,114.739,2590.2435
206384,7,South,0,0,1.324,1.135,1.332,44.969,717.5805
258606,1,MidWest,0,0,1.381,1.236,1.248,3968.479,9920.3618
279229,8,South,0,1,1.533,1.042,1.703,612.545,5643.6476
242564,12,East,0,0,1.157,0.843,1.266,2393.799,9793.1519
244941,6,West,0,0,1.554,1.403,2.139,112.313,758.9073
933870,2,South,0,1,1.403,1.053,1.289,1768.912,5066.2271
259735,4,West,0,1,1.471,1.405,2.191,559.63,3465.6793
533864,1,MidWest,0,0,1.189,0.959,1.293,1687.001,11596.0532
